"Bill of Material for "
"On 12/26/2019 at 3:17:09 PM"

"Comment","Pattern","Quantity","Components"

"104","0805 CAP","13","C2, C3, C6, C7, C11, C12, C13, C14, C15, C16, C17, C18, C19",""
"10k","0805 RESISTOR","14","R1, R3, R9, R10, R11, R12, R13, R14, R15, R17, R18, R19, R20, R21",""
"10K","RVAR","1","VR1",""
"10uF","0805 CAP","2","C4, C5",""
"10uF","CAP TANTALUM SMD7434","2","C8, C10",""
"1uF","0805 CAP","2","C1, C9",""
"2.2k","0805 RESISTOR","1","R16",""
"33k","0805 RESISTOR","4","R2, R4, R5, R6",""
"5.6k","0805 RESISTOR","2","R7, R8",""
"DIODE","DIODE SMA","3","D1, D2, D3",""
"Header 2H","HDR1X2","1","P9",""
"Header 3H","HDR1X3","5","P1, P2, P3, P5, P10",""
"Header 3X2","HDR2X3","1","P4",""
"HOLE","HOLE","4","H1, H2, H3, H4",""
"ICL7660","DIP 8","1","U3","ICL7660 Series 1.5 - 12 Vin 45 mA 10-35 kHz CMOS Voltage Converter - SOIC-8"
"INA-129","DIP 8","1","U7",""
"JACK DC","JACK DC","1","JACK1",""
"LED","LED SMD 0805","2","+5V, -5V",""
"LM741","DIP 8","4","U1, U2, U4, U5",""
"MPS20N0040D","MPS20N0040D-S","1","U6",""
"Pump","HDR1X2","1","P8",""
"SWITCH","SW 4PIN","2","S1, S2",""
"TIP41C","QTO-220","3","Q1, Q2, Q3","NPN 2W, BCE"
"Valve","HDR1X2","2","P6, P7",""
